COUNTRY	COUNT	SECTOR	TRADE	OLD_UCM	CURRENCY	BORDER	FDI_2000	CROSSBORDER	Distance	FDI_2013	YCOUNTRYI	YCOUNTRYJ	cpi	HPCorr	SUMSIZE	EPL	PMR	FIIndex	latejoiner	HPCorrSA	UCM	HPOX
LUXEMBOURG	NETHERLANDS	0.482231324	36220428643	0.500965328	1	0	330768.5026	0	318.3489	4399411	707794.6	11263201.5	2.9225	0.656468938	0.052401849	0.666551724	0.202579898	0	1	0.656468938	0.641985687	0.671866275
LUXEMBOURG	POLAND	0.707110137	7092102726	0.350564204	0	0	19979.65608	0	1080.571	90075.7	707794.6	6124098.5	0.301875	0.416177669	0.029905935	0.02	0.828781325	0	0	0.416177669	0.403078567	0.378809421
LUXEMBOURG	PORTUGAL	0.612101563	2979031061	0.425379791	1	0	29914.19162	0	1711.773	63481.7	707794.6	3134113.6	3.261875	0.535610597	0.016817572	2.272068966	0.4269686	0	1	0.535610597	0.466794196	0.523785302
LUXEMBOURG	ROMANIA	0.837629189	1166778083	0.303509809	0	0	567.7376203	0	1615.444	5253.4	707794.6	2204179.5	13.30875	0.418187949	0.012746878	0.44	0.1893571	0	0	0.418187949	0.567925895	0.529373032
LUXEMBOURG	SLOVAKIA	0.720141263	2158726818	0.563694312	1	0	3433.160479	0	821.1423	14500.5	707794.6	1127072.6	0.6	0.642529764	0.008031949	0.050952381	0.196842967	0	0.5	0.642529764	0.802095505	0.674948912
LUXEMBOURG	SLOVENIA	0.652133675	1421480338	0.613596311	1	0	235.3810445	0	736.8185	1207.9	707794.6	624420.5	0.03375	0.696893982	0.00583164	0.308571429	0.297881	0	0.5	0.696893982	0.739672474	0.710642837
LUXEMBOURG	SPAIN	0.621348663	14087684698	0.504504441	1	0	37542.66707	0	1281.233	203530	707794.6	18611818	2.091875	0.58677117	0.08456969	0.499310345	0.30759655	0	1	0.58677117	0.62066836	0.575955043
LUXEMBOURG	SWEDEN	0.57346847	6829699050	0.585129052	0	0	54609.05608	0	1325.934	241639.3	707794.6	6515395.8	5.120625	0.724655421	0.0316188	0.448965517	0.131970225	0	0	0.724655421	0.774834574	0.765964449
LUXEMBOURG	UK	0.408776739	23197936710	0.81349972	0	0	358480.4316	0	494.0174	2559765.7	707794.6	33488892.7	1.129375	0.766759933	0.14969261	1.080666667	0.32020945	0	0	0.766759933	0.787602482	0.761369372
MALTA	NETHERLANDS	0.239503312	4548194251	0.390656278	1	0	0	0	1981.948	882.7	121287	11263201.5	2.375625	0.529278385	0.04983447	0.174827586	0.272529798	0	0.5	0.529278385	0.470156812	0.533350394
MALTA	POLAND	0.378782616	864363458	0.114683982	0	0	0	0	1889.904	1718.6	121287	6124098.5	0.245	0.278623384	0.027338556	0.511724138	0.758831425	0	0	0.278623384	0.190961089	0.064698305
MALTA	PORTUGAL	0.283005344	577441740	0.496683275	1	0	0	0	2112.431	502.1	121287	3134113.6	2.715	0.531161146	0.014250194	1.780344828	0.3570187	0	0.5	0.531161146	0.548133901	0.510923282
MALTA	ROMANIA	0.684817462	1047819603	0.224451271	0	0	0	0	1364.676	62.3	121287	2204179.5	13.855625	0.500969034	0.010179499	0.051724138	0.1194072	0	0	0.500969034	0.777281124	0.559810284
MALTA	SLOVAKIA	0.448087899	207750977	0.48559535	1	0	0	0	1382.29	0	121287	1127072.6	1.146875	0.557157036	0.00546457	0.440771757	0.126893067	0	0.5	0.557157036	0.663927929	0.488937083
MALTA	SLOVENIA	0.367263867	171886697	0.444482425	1	0	0	0	1131.545	0	121287	624420.5	0.513125	0.58000933	0.003264261	0.183152709	0.2279311	0	0.5	0.58000933	0.520763381	0.601730546
MALTA	SPAIN	0.272898406	4511816189	0.528613853	1	0	0	0	1670.797	2427.3	121287	18611818	1.545	0.690111583	0.082002311	0.007586207	0.23764665	0	0.5	0.690111583	0.575759888	0.645849372
MALTA	SWEDEN	0.334741858	1069717002	0.387674457	0	0	0	0	2620.794	3924.6	121287	6515395.8	4.57375	0.457966307	0.029051421	0.042758621	0.062020325	0	0	0.457966307	0.304977352	0.523787181
MALTA	UK	0.239207508	11848967984	0.393667027	0	0	0	0	2092.273	3461	121287	33488892.7	1.67625	0.456821208	0.147125231	1.572390805	0.39015935	0	0	0.456821208	0.25986032	0.603776497
NETHERLANDS	POLAND	0.404657254	1.90E+11	0.681291108	0	0	5557.243128	1	1093.599	93789.6	11263201.5	6124098.5	2.620625	0.675721851	0.076111183	0.686551724	1.031361223	0	0	0.675721851	0.802203148	0.656339546
NETHERLANDS	PORTUGAL	0.243639961	74801359879	0.549251338	1	0	23327.69135	0	1862.043	137986.2	11263201.5	3134113.6	0.339375	0.735183495	0.06302282	1.605517241	0.629548498	0	1	0.735183495	0.79009141	0.783465301
NETHERLANDS	ROMANIA	0.633931475	43890929672	0.454578021	0	0	4332.780409	0	1790.145	39313.9	11263201.5	2204179.5	16.23125	0.697726797	0.058952126	0.226551724	0.391936998	0	0	0.697726797	0.583728115	0.743975193
NETHERLANDS	SLOVAKIA	0.442887192	37486697976	0.782979014	1	0	1218.335981	0	987.487	41768.1	11263201.5	1127072.6	3.5225	0.857226727	0.054237197	0.615599343	0.399422864	0	0.5	0.857226727	0.81089151	0.861845066
NETHERLANDS	SLOVENIA	0.328371937	17029521907	0.918423751	1	0	1456.503985	0	986.5178	2760.7	11263201.5	624420.5	2.88875	0.936474798	0.052036887	0.357980296	0.500460898	0	0.5	0.936474798	0.952945498	0.936338599
NETHERLANDS	SPAIN	0.312199364	3.29E+11	0.846933293	1	0	57548.7192	0	1481.366	675854	11263201.5	18611818	0.830625	0.86561327	0.130774937	0.167241379	0.510176448	0	1	0.86561327	0.902628346	0.842269123
NETHERLANDS	SWEDEN	0.240761978	2.30E+11	0.789117425	0	0	25260.78923	0	1128.93	294234.8	11263201.5	6515395.8	2.198125	0.758999831	0.077824048	0.217586207	0.334550123	0	0	0.758999831	0.701403102	0.737054243
NETHERLANDS	UK	0.188752861	1.00E+12	0.518910978	0	0	208576.54	0	360.315	2690974.3	11263201.5	33488892.7	4.051875	0.61295962	0.195897857	1.747218391	0.117629553	0	0	0.61295962	0.36977642	0.542668592
POLAND	PORTUGAL	0.287918321	11615510447	0.29079678	0	0	2024.932703	0	2760.441	6235.7	6124098.5	3134113.6	2.96	0.536197209	0.040526906	2.292068966	0.401812725	0	0	0.536197209	0.67626812	0.490397948
POLAND	ROMANIA	0.409655846	39641846171	0.198956188	0	0	612.4259489	0	949.9037	2004.4	6124098.5	2204179.5	13.610625	0.42981666	0.036456212	0.46	0.639424225	0	0	0.42981666	0.181108161	0.411904111
POLAND	SLOVAKIA	0.137756632	91934164861	0.575913538	0	1	333.3604198	0	530.0169	2022.9	6124098.5	1127072.6	0.901875	0.548920144	0.031741283	0.070952381	0.631938358	0	0	0.548920144	0.466130934	0.631290312
POLAND	SLOVENIA	0.203507349	16183901483	0.656135342	0	0	64.42236768	0	834.402	286.3	6124098.5	624420.5	0.268125	0.643174218	0.029540973	0.328571429	0.530900325	0	0	0.643174218	0.726485625	0.584039104
POLAND	SPAIN	0.219321619	87582794486	0.63350143	0	0	13111.85961	0	2293.005	33595.6	6124098.5	18611818	1.79	0.652689532	0.108279023	0.519310345	0.521184775	0	0	0.652689532	0.715819737	0.505209254
POLAND	SWEDEN	0.278030837	99803256269	0.758649022	0	0	2207.016026	0	809.0182	7207.6	6124098.5	6515395.8	4.81875	0.510104168	0.055328134	0.468965517	0.6968111	0	0	0.510104168	0.556133826	0.403475269
POLAND	UK	0.497442725	1.71E+11	0.485349022	0	0	8289.544218	0	1451.644	31050.6	6124098.5	33488892.7	1.43125	0.311464949	0.173401943	1.060666667	1.148990775	0	0	0.311464949	0.140400281	0.123675765
PORTUGAL	ROMANIA	0.505482899	5285414017	0.092084275	0	0	291.9919199	0	2978.071	1033.3	3134113.6	2204179.5	16.570625	0.387042098	0.023367849	1.832068966	0.2376115	0	0	0.387042098	0.406994696	0.539256556
PORTUGAL	SLOVAKIA	0.326148879	3440691042	0.43377099	1	0	117.2001415	0	2354.293	0	3134113.6	1127072.6	3.861875	0.567369222	0.01865292	2.221116585	0.230125633	0	0.5	0.567369222	0.568309732	0.601308582
PORTUGAL	SLOVENIA	0.272897338	1564265782	0.458994269	1	0	0	0	2096.808	13.2	3134113.6	624420.5	3.228125	0.698564404	0.016452611	1.963497537	0.1290876	0	0.5	0.698564404	0.730608301	0.77681326
PORTUGAL	SPAIN	0.130140684	4.43E+11	0.644069353	1	1	27403.9279	0	500.9223	128379.4	3134113.6	18611818	1.17	0.811200683	0.095190661	1.772758621	0.11937205	0	1	0.811200683	0.831638913	0.859717457
PORTUGAL	SWEDEN	0.22618382	17491861136	0.516948685	0	0	342.7745536	0	2990.966	7450.6	3134113.6	6515395.8	1.85875	0.564627253	0.042239771	1.823103448	0.294998375	0	0	0.564627253	0.443520004	0.546942346
PORTUGAL	UK	0.275966075	85282582364	0.237906972	0	0	8155.127366	0	1583.091	19810	3134113.6	33488892.7	4.39125	0.288608358	0.160313581	3.352735632	0.74717805	0	0	0.288608358	-0.000705728	0.300170271
ROMANIA	SLOVAKIA	0.275758849	21809796466	0.659378673	0	0	14.75869893	0	804.2042	59.1	2204179.5	1127072.6	12.70875	0.764598701	0.014582226	0.389047619	0.007485867	0	0	0.764598701	0.814574755	0.789135462
